section,code,answer1,answer2,answer3,correct
Simple operations,3 + 10,13,,,1
Simple operations,3 = 10,Error,,,1
Simple operations,3 == 10,False,,,1
Simple operations,2 ** 10,20,1024,,1
Simple operations,'3 + 10','3 + 10',Error,,0
Simple operations,3 * '10','101010','101010',10 10 10,0
Simple operations,a*10,Error,,,1
Simple operations,'a' * 10,aaaaaaaaaa,,,1
Simple operations,int('3') + int('10'),310,13,,1
Simple operations,int('hello world'),hello world,Error,,1
Simple operations,10 / 5,2,2.0,,1
Simple operations,int(10 / 5),2,,,1
Simple operations,10 / 4,2.5,,,1
Simple operations,10 // 4,2,,,1
Simple operations,int(10/4),3,2,,1
Simple operations,int(10)/4,2,2.5,,1
Simple operations,"type(""True"")",True,<class 'str'>,,1
Simple operations,type(True),<class 'bool'>,,,1
